"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Httpbin API","1","0","Headers","0"
"2","","1","","2","2","","0"
"0","","0","Data Driven Tests","8","0","","0"
"0","","0","Httpbin API","1","0","Status code","0"
"0","","1","Mock Server","0","0","Mock response","0"
"0","","0","Httpbin API","1","0","DELETE request","0"
"0","","0","Httpbin API","1","0","GET request","0"
"0","","1","Example API","0","0","Get user info","0"
"0","","0","Httpbin API","1","0","PUT request","0"
"0","","1","Example API","0","0","Update user info","0"
"0","","0","Httpbin API","1","0","POST request","0"
